Average	SD	Min	Max
-8.364351654052735	0.20497157104052594	-7.995494842529297	-8.475150108337402
-2.318088698387146	0.07612899490908145	-2.3098111152648926	-2.374248504638672
-2.376564383506775	0.15204878773221145	-2.4455184936523438	-2.196277141571045
-2.299475646018982	0.07372116505061085	-2.2646267414093018	-2.3146674633026123
-2.299047923088074	0.09800640407831358	-2.230454206466675	-2.199875831604004
-2.3442145109176638	0.13871645037177124	-2.462705373764038	-2.292987585067749
-2.3600914239883424	0.13154376895012093	-2.3549749851226807	-2.1809310913085938
-2.3370026111602784	0.12719172871904885	-2.453251600265503	-2.2622878551483154
-2.3065776586532594	0.0988971202071664	-2.378795623779297	-2.277604818344116
-2.3942126989364625	0.10693776741656474	-2.383836030960083	-2.2410988807678223
-2.3272342920303344	0.1118787801523648	-2.4802846908569336	-2.2790534496307373
-2.3049394369125364	0.10623100639733223	-2.5032854080200195	-2.2160701751708984
-2.374604415893555	0.08822328363742632	-2.3527345657348633	-2.477445363998413
-2.3058639049530028	0.09356173773460848	-2.1515262126922607	-2.360618829727173
-2.3340120553970336	0.08461732855091314	-2.378964900970459	-2.1344287395477295
-2.33185670375824	0.12179576426597875	-2.393505334854126	-2.155158758163452
-2.346911334991455	0.0954042444906054	-2.2254395484924316	-2.4448111057281494
-2.2812119722366333	0.08793433411426892	-2.30022931098938	-2.251086950302124
-2.3314387798309326	0.13662510420277815	-2.5033798217773438	-2.3134515285491943
-2.357459831237793	0.07590486795958641	-2.3574929237365723	-2.252138376235962
-2.2935804605484007	0.08058723354140152	-2.458369731903076	-2.182964563369751
-2.2607951879501345	0.09595045662347329	-2.411545753479004	-2.2755441665649414
-2.3133137226104736	0.09176853942935487	-2.257870674133301	-2.3448710441589355
-2.338705849647522	0.08991690610728378	-2.3943707942962646	-2.4269332885742188
-2.3278326749801637	0.13789800928332152	-2.588013172149658	-2.356595993041992
-2.3765345335006716	0.1381706246394126	-2.5689966678619385	-2.1624159812927246
-2.3111290454864504	0.08193940127846648	-2.283930778503418	-2.4044058322906494
-2.272775435447693	0.08975209429310735	-2.1695480346679688	-2.235924243927002
-2.34523766040802	0.13980289474567947	-2.1654980182647705	-2.348133087158203
-2.3490931034088134	0.03873356338615489	-2.364954948425293	-2.2995872497558594
-2.3633780479431152	0.0853073677720635	-2.438110828399658	-2.426410436630249
-2.355407691001892	0.13352565154182802	-2.2681307792663574	-2.5015838146209717
-2.2907387018203735	0.10846972347975378	-2.3351402282714844	-2.292079448699951
-2.3129012823104858	0.10872659802652179	-2.3383800983428955	-2.1779189109802246
-2.3094621658325196	0.10993675720899121	-2.2156753540039062	-2.4123902320861816
-2.4049259662628173	0.12028193945354236	-2.48464298248291	-2.384509563446045
-2.3421429634094237	0.08742900395835485	-2.4902307987213135	-2.319042682647705
-2.252160334587097	0.11510712602988186	-2.197427749633789	-2.098371744155884
-2.3575189828872682	0.08867872225736045	-2.441086769104004	-2.3382742404937744
-2.3640355587005617	0.13140744442755026	-2.506742238998413	-2.3435685634613037
-2.350659942626953	0.10059204096639196	-2.4192609786987305	-2.421037197113037
-2.295193243026733	0.06561559756328404	-2.343888521194458	-2.339460849761963
-2.311000037193298	0.09450338054429934	-2.433835029602051	-2.320690393447876
-2.36523597240448	0.10717086847830157	-2.338245153427124	-2.449742317199707
-2.4134556531906126	0.08641601805024555	-2.5044453144073486	-2.4065322875976562
-2.3726396322250367	0.06842685482219645	-2.425452470779419	-2.2663490772247314
-2.325893998146057	0.13728607837669876	-2.0819880962371826	-2.2623584270477295
-2.4047624111175536	0.11398545834974566	-2.4738287925720215	-2.5654940605163574
-2.3013155698776244	0.06108302686690753	-2.2834482192993164	-2.3135111331939697
-2.3484467267990112	0.1168528350083864	-2.533426523208618	-2.413447141647339
