Average	SD	Min	Max
18253.826171875	1947.3821321426974	16662.533203125	17912.80078125
29331.360546875	1348.6248341523951	27500.6640625	28175.068359375
37108.79453125	1885.8038342157208	37455.46875	34922.00390625
41512.653515625	1785.2963960790348	39792.26953125	38403.8671875
46813.41328125	1998.6839073645501	47080.1953125	46264.53515625
51429.70546875	2330.3163432599827	52922.734375	51995.46875
54913.50859375	2682.278986421282	55110.73828125	57811.07421875
59204.891796875	3106.6074450451842	60045.328125	62932.9296875
62296.676171875	3254.287762718854	63257.4765625	67898.1328125
64622.799609375	3108.7735459728847	64788.6796875	69041.59375
67885.887109375	4630.245043653849	68393.734375	75626.1875
69728.50078125	5160.51220643885	69148.3984375	80083.1328125
71364.30234375	4485.590756819378	68215.53125	79364.1328125
73101.703125	5017.304526232911	70839.0703125	79448.2734375
74540.296875	5535.567021249476	69888.734375	80815.8828125
75496.71796875	5270.524759092984	70199.0625	81566.59375
76737.659375	6107.483738546259	70217.671875	83763.2734375
76341.11796875	5571.649219393893	67819.53125	80685.8671875
77306.33984375	5869.563102288727	70502.65625	82583.796875
78268.33671875	5855.045643195823	70602.0703125	83562.8125
78491.79609375	5631.591837482757	69051.671875	82396.34375
78641.69921875	5559.309979696032	70184.328125	83111.0625
79033.14296875	5514.487917025527	70757.7421875	84466.6484375
79203.58125	4948.355985558684	70745.7265625	81317.7421875
79349.81484375	5039.805648472912	71309.40625	81967.0078125
79656.7421875	5431.812196984839	70687.921875	83804.9921875
79882.70078125	5127.80987009233	70054.9375	84345.9296875
80209.303125	4770.126337915374	71793.9921875	85541.0703125
80262.08984375	5328.118171282905	70298.2109375	81063.671875
80801.271875	5388.51175782741	71164.0625	84993.671875
80627.09609375	5256.409307406906	70312.2734375	84896.34375
81196.228125	5852.320492248013	69932.796875	82604.7265625
80469.10390625	5313.600538614155	70849.9921875	85972.53125
80280.73359375	5262.851804912992	69889.8671875	82678.140625
81146.334375	5076.359429655488	71997.0625	84536.8671875
80861.32109375	5444.179591661362	70089.2578125	85215.7421875
80864.8828125	5533.973730335813	70582.1328125	85572.078125
80640.140625	5007.253103254851	71057.3359375	83714.9375
80742.325	5043.944824598906	71256.6015625	84187.53125
80783.93046875	4953.827890357701	70715.7421875	84947.5390625
81170.93828125	4881.343724109504	71967.1328125	85423.53125
80885.94375	5617.66607394729	68749.1328125	86131.4609375
81595.00234375	6294.520088917101	69385.453125	85947.0
81026.8625	5130.03855928527	71366.2578125	84757.796875
81100.384375	5392.033036288697	70343.40625	81687.3203125
81521.7796875	4671.873553901672	71084.328125	86013.671875
80824.86640625	4449.683984717215	70897.9375	85822.9375
81040.9578125	4666.094682640331	69917.65625	83652.390625
81381.425	5120.011148161407	70460.734375	83342.59375
81118.6078125	5106.136197765199	69038.5390625	82403.34375
