Episode	Average	SD	Min	Max
1	1229.0666625976562	297.10229062556243	1323.0	948.0
2	1804.2333129882813	250.42906086868996	1511.6666259765625	2237.0
3	1914.7666748046875	348.4642972718518	1554.0	1981.3333740234375
4	1811.333349609375	443.32870975421713	2127.666748046875	2019.0
5	2192.500036621094	414.79737197997605	2498.0	1874.3333740234375
6	2812.8666870117186	632.0146114615081	3077.0	3209.666748046875
7	2656.633349609375	962.0747576151933	2900.333251953125	3622.0
8	2704.7666442871096	962.6232216161316	2397.333251953125	3462.666748046875
9	3449.966668701172	1463.4167043494206	2317.333251953125	3971.0
10	3832.6000122070313	1214.5696814466505	4877.66650390625	4892.0
11	4096.73330078125	777.8515655203763	4308.66650390625	3883.0
12	3890.2333374023438	1290.852074296196	5756.0	4371.66650390625
13	3849.3000244140626	1171.9227677751685	5063.0	4212.33349609375
14	4012.7667236328125	1248.6190101592194	6739.33349609375	4264.0
15	4124.566650390625	1053.409074215302	5994.66650390625	4769.33349609375
16	4405.3333740234375	1225.9053024016434	6624.0	4583.33349609375
17	4149.0333251953125	1289.5883346121652	2120.333251953125	4515.0
18	4003.3666259765623	1066.9184412242473	2843.0	4598.33349609375
19	3986.933349609375	993.8116781046564	2215.666748046875	4560.0
20	3707.333355712891	1600.7199336384233	2829.333251953125	4935.0
21	3934.4999755859376	1588.0113706255536	2129.666748046875	4282.66650390625
22	3715.7333404541014	1847.6865758200825	2129.666748046875	5111.33349609375
23	3585.866650390625	1657.2933319073832	2129.666748046875	5414.66650390625
24	4223.633349609375	1593.5459083635988	2129.666748046875	5819.66650390625
25	4202.700048828125	1617.7360864273837	2129.666748046875	5439.33349609375
26	4257.266650390625	1410.2345688606565	2129.666748046875	5391.0
27	4346.13330078125	1472.1002160772	2129.666748046875	6084.66650390625
28	4356.4	1436.4520373753348	2129.666748046875	6084.66650390625
29	4395.866674804687	1490.7939912967215	2129.666748046875	6084.66650390625
30	4416.000024414063	1513.0246886923403	2129.666748046875	6084.66650390625
31	4459.300024414062	1450.7635233662384	2129.666748046875	6084.66650390625
32	4451.2	1434.1796424984548	2129.666748046875	6084.66650390625
33	4401.5	1560.286604857456	2129.666748046875	6084.66650390625
34	4423.833349609375	1486.4804977206848	2129.666748046875	6084.66650390625
35	4413.633349609375	1420.0125230818928	2129.666748046875	6084.66650390625
36	4422.333349609375	1410.677300003747	2129.666748046875	6084.66650390625
37	4395.0	1441.5703470904712	2129.666748046875	6084.66650390625
38	4435.433349609375	1397.5252036329305	2129.666748046875	6084.66650390625
39	4379.133349609375	1461.5501491552936	2129.666748046875	6084.66650390625
40	4432.2	1400.6690119743967	2129.666748046875	6084.66650390625
41	4377.1	1464.2151931361143	2129.666748046875	6084.66650390625
42	4378.5	1462.377748635965	2129.666748046875	6084.66650390625
43	4366.533349609375	1478.4375209455459	2129.666748046875	6084.66650390625
44	4395.633349609375	1440.8033279292156	2129.666748046875	6084.66650390625
45	4405.7	1428.9337519210626	2129.666748046875	6084.66650390625
46	4334.566674804688	1525.1178711694831	2129.666748046875	6084.66650390625
47	4370.566674804688	1472.935567829143	2129.666748046875	6084.66650390625
48	4385.166674804687	1453.7811089149745	2129.666748046875	6084.66650390625
49	4385.1	1453.8658239561078	2129.666748046875	6084.66650390625
50	4404.3	1430.5479787424954	2129.666748046875	6084.66650390625
51	4384.233349609375	1454.9692953271624	2129.666748046875	6084.66650390625
52	4391.866674804687	1445.3998054870742	2129.666748046875	6084.66650390625
53	4386.333349609375	1452.3029204924367	2129.666748046875	6084.66650390625
54	4428.0	1404.853315268337	2129.666748046875	6084.66650390625
55	4428.0	1404.853315268337	2129.666748046875	6084.66650390625
Total Run Time: 0:0:1
Total Learning Time: 0:0:0

Parameters: Pruning: 2, Pop Const: 50, Selection Ratio: 0.05, Converged at 0.1 * step-size, 10 testing iterations
