Average	SD	Min	Max
-47.57332992553711	0.0	-47.57332992553711	-47.57332992553711
-44.523338317871094	0.0	-44.523338317871094	-44.523338317871094
-35.49332046508789	0.0	-35.49332046508789	-35.49332046508789
-32.110008239746094	0.0	-32.110008239746094	-32.110008239746094
-28.643327713012695	0.0	-28.643327713012695	-28.643327713012695
-31.940000534057617	0.0	-31.940000534057617	-31.940000534057617
-29.563335418701172	0.0	-29.563335418701172	-29.563335418701172
-25.176664352416992	0.0	-25.176664352416992	-25.176664352416992
-28.31999969482422	0.0	-28.31999969482422	-28.31999969482422
-26.789997100830078	0.0	-26.789997100830078	-26.789997100830078
-22.76000213623047	0.0	-22.76000213623047	-22.76000213623047
-24.479995727539062	0.0	-24.479995727539062	-24.479995727539062
-28.219989776611328	0.0	-28.219989776611328	-28.219989776611328
-27.063329696655273	0.0	-27.063329696655273	-27.063329696655273
-22.04000473022461	0.0	-22.04000473022461	-22.04000473022461
-19.409996032714844	0.0	-19.409996032714844	-19.409996032714844
-23.14999771118164	0.0	-23.14999771118164	-23.14999771118164
-19.560001373291016	0.0	-19.560001373291016	-19.560001373291016
-20.966672897338867	0.0	-20.966672897338867	-20.966672897338867
-20.64333724975586	0.0	-20.64333724975586	-20.64333724975586
-18.023332595825195	0.0	-18.023332595825195	-18.023332595825195
-17.030004501342773	0.0	-17.030004501342773	-17.030004501342773
-16.10666847229004	0.0	-16.10666847229004	-16.10666847229004
-20.03333282470703	0.0	-20.03333282470703	-20.03333282470703
-19.010000228881836	0.0	-19.010000228881836	-19.010000228881836
-21.536663055419922	0.0	-21.536663055419922	-21.536663055419922
-21.786664962768555	0.0	-21.786664962768555	-21.786664962768555
-21.433332443237305	0.0	-21.433332443237305	-21.433332443237305
-18.029996871948242	0.0	-18.029996871948242	-18.029996871948242
-21.490001678466797	0.0	-21.490001678466797	-21.490001678466797
-25.413328170776367	0.0	-25.413328170776367	-25.413328170776367
-21.913330078125	0.0	-21.913330078125	-21.913330078125
-20.623336791992188	0.0	-20.623336791992188	-20.623336791992188
-16.983335494995117	0.0	-16.983335494995117	-16.983335494995117
-22.05666732788086	0.0	-22.05666732788086	-22.05666732788086
-22.889997482299805	0.0	-22.889997482299805	-22.889997482299805
-29.106674194335938	0.0	-29.106674194335938	-29.106674194335938
-25.979995727539062	0.0	-25.979995727539062	-25.979995727539062
-21.436662673950195	0.0	-21.436662673950195	-21.436662673950195
-24.916664123535156	0.0	-24.916664123535156	-24.916664123535156
-15.049997329711914	0.0	-15.049997329711914	-15.049997329711914
-20.803327560424805	0.0	-20.803327560424805	-20.803327560424805
-24.393327713012695	0.0	-24.393327713012695	-24.393327713012695
-20.80666732788086	0.0	-20.80666732788086	-20.80666732788086
-27.599998474121094	0.0	-27.599998474121094	-27.599998474121094
-21.22333526611328	0.0	-21.22333526611328	-21.22333526611328
-32.350006103515625	0.0	-32.350006103515625	-32.350006103515625
-23.956666946411133	0.0	-23.956666946411133	-23.956666946411133
-25.740001678466797	0.0	-25.740001678466797	-25.740001678466797
-20.57666778564453	0.0	-20.57666778564453	-20.57666778564453
