Average	SD	Min	Max
7108.15322265625	456.76289409132124	7039.39990234375	7434.599609375
9136.826953125	357.5292435793582	9098.4658203125	9151.201171875
11233.73974609375	563.9400455376957	11754.0	10838.80078125
12354.8591796875	699.8809794670827	12055.0634765625	13554.201171875
13213.08671875	601.1722702050054	13583.333984375	13304.06640625
14126.1404296875	384.0903768496544	14411.400390625	13839.66796875
14402.50029296875	576.5383628803396	13645.666015625	14674.1337890625
15024.80625	938.1364208916063	14222.0009765625	17177.0
15908.51396484375	1385.7518302299356	15692.7998046875	19152.6015625
17653.69365234375	2972.103632445713	16798.66796875	24370.53515625
19398.89423828125	5564.6773670046705	15508.5341796875	30735.33203125
21119.78740234375	6887.750604367226	16601.265625	32989.796875
23206.9521484375	8608.267856653581	16689.130859375	33910.59375
24976.38623046875	8979.626537391943	15797.5322265625	34645.06640625
26774.373828125	9597.354178429518	16586.267578125	37108.93359375
28308.0060546875	9467.273908212122	16649.263671875	37561.92578125
30377.13359375	9653.909585894055	17073.46484375	39885.93359375
31971.9	9775.454351237704	16559.1328125	39997.0
33141.6060546875	9882.124083730987	16863.53515625	40577.6015625
33726.987890625	10326.012061722258	16892.33203125	41888.86328125
34691.314453125	10743.685601267292	17070.001953125	44981.60546875
35429.140234375	11425.82646220406	17547.3984375	48545.265625
35879.565625	11242.562602209384	17852.466796875	48552.58984375
36587.9193359375	11312.704850948454	18340.46875	51153.859375
37152.3671875	12025.057505610575	17486.1328125	52681.0
37217.3994140625	11725.133656590217	18238.533203125	53302.12890625
37155.2529296875	11614.27859842258	18623.66796875	52109.99609375
37991.913671875	12153.859135909874	19091.26953125	54059.5234375
38547.369921875	12300.903100159883	19122.931640625	55730.81640625
38607.794140625	12605.46488931786	18608.666015625	56291.203125
39036.9525390625	12154.730945227004	19004.93359375	55842.6015625
39446.4408203125	12625.919316692174	19516.53125	57116.99609375
39737.133984375	12465.63318417077	18017.466796875	55314.140625
40003.951171875	12259.19771220574	18972.6015625	56284.6640625
40629.0669921875	11805.42228454177	18704.6015625	56500.53125
42080.2736328125	11384.816299936916	19714.86328125	58686.6640625
42132.661328125	11552.581645203323	18748.197265625	57164.875
42738.91953125	11840.555412123902	18769.599609375	58526.6640625
42944.34765625	11549.195073260269	18987.666015625	57712.39453125
43104.4759765625	11746.662167310198	19101.931640625	58866.734375
43351.0681640625	11547.036575959179	19791.603515625	57944.87890625
43369.44140625	11863.139634180434	19617.669921875	58744.265625
43584.7720703125	11853.791022632773	19793.3984375	59494.73046875
43987.9267578125	12272.521253673423	18343.869140625	60229.87109375
43908.594140625	12047.56590803425	19900.33203125	60381.26953125
44310.7572265625	12140.203852712217	18723.80078125	60072.93359375
44719.9822265625	12394.527547849826	18233.533203125	60587.8046875
45004.2357421875	12139.537740538497	20562.53515625	61413.93359375
45595.4123046875	12016.46302861977	20473.869140625	61919.53515625
45320.0001953125	12159.318866162923	20459.66796875	61275.53125
